Product SKU,Warranty
URG0012-1,"<div id=""how-to-text""><p>Use after cleansing. Hold the bottle 5-7 inches (15-20 cm)  away and spray. Follow with serum/ facial oil and moisturizer. Use as a mist to freshen up throughout the day. RECOMMENDATIONS: We always recommend doing a patch test when the product is used for the first time.</p></div><div id=""ingredients-text""><p>100% Organic Rosa Damascena Flower Water</p></div>"
BNT0005,"<div id=""how-to-text""><p>After cleansing and toning, take 1-2 pumps of essence and massage evenly onto face and neck. Then pat gently for better absorption. For the under eye area, lightly tap to help the skin absorb the product. </p><p>We recommend doing a patch test on a wrist or behind the ear before using any new product.</p></div><div id=""ingredients-text""><p>Aqua (Water), Snail Secretion Filtrate, Butylene Glycol, Glycerin, Niacinamide, 1,2-Hexanediol, Aloe Barbadensis Leaf Juice, sh-Oligopeptide-1, Bee Venom, Plantago Asiatica Extract, Laminaria Digitata Extract, Diospyros Kaki Leaf Extract, Salix Alba (Willow) Bark Extract, Ulmus Campestris (Elm) Bark Extract, Althaea Rosea Root Extract, Aloe Barbadensis Leaf Extract, Beta-Glucan, Betaine, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Adenosine, Panthenol, Allantoin, Pentylene Glycol, Zanthoxylum Piperitum Fruit Extract, Pulsatilla Koreana Extract, Usnea Barbata (Lichen) Extract, Polysorbate 20, Lecithin, Arginine </p><p>Ingredients are subject to change at the manufacturer's discretion. For the most complete and up-to-date list of ingredients, refer to the product packaging.</p></div>"
SBM0002,"<div id=""how-to-text""><p>Shake the bottle enough to mix oil and serum. Apply after your toner and essence step. Evenly spread the serum all over face. Gently pat the skin to aid absorption. </p><p>We recommend doing a patch test on a wrist or behind the ear before using any new product.</p></div><div id=""ingredients-text""><p>Water, Centella Asiatica (Gotu Kola) Extract (14,77%), Cetyl Ethylhexanoate, Caprylic/Capric Triglyceride, Glycerin, Olea Europaea (Olive) Fruit Oil, Propanediol, Alcohol, Butylene Glycol, 1,2-Hexanediol, Niacinamide, Melaleuca Alternifolia (Tea Tree) Leaf Water (10,000ppm), Camellia Sinensis (Green Tea) Leaf Extract, Scutellaria Baicalensis (Baikal Skullcap) Root Extract, Polygonum Cuspidatum (Japanese Knotweed) Root Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Chamomilla Recutita (Matricaria) Flower Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Sodium Lactate (18,375ppb), Sodium PCA (7,875ppb), Citric Acid (7,875ppb), Lactic Acid (3,150ppb), Malic Acid (3,150ppb), Glycolic Acid (3,150ppb), Pyruvic Acid (525ppb), Tartaric Acid (10.5ppb), Gaultheria Procumbens (Wintergreen) Leaf Extract (105ppm), Lactobionic Acid (105ppm), Pentylene Glycol, Vaccinium Macrocarpon (Cranberry) Fruit Extract, Lavandula Angustifolia (Lavender) Extract, Ocimum Basilicum (Basil) Leaf Extract, Syringa Vulgaris (Lilac) Extract, Houttuynia Cordata (Tsi) Extract, Angelica Keiskei Extract, Althaea Officinalis (Marshmallow) Root Extract, Rosmarinus Officinalis (Rosemary) Extract, Madecassoside, Camellia Oleifera (Tea-Oil Camellia) Seed Oil, Oryza Sativa (Rice) Bran Oil, Camellia Sinensis (Green Tea) Seed Oil, Rosa Canina (Dog Rose) Fruit Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Limnanthes Alba (Meadowfoam) Seed Oil, Sodium Chloride, Citrus Paradisi (Grapefruit) Peel Oil, Citrus Aurantium Dulcis (Orange) Peel Oil, Curcuma Longa (Turmeric) Root Extract, Melia Azadirachta (Neem) Leaf Extract, Melia Azadirachta (Neem) Flower Extract, Xanthan Gum, Pelargonium Graveolens (Geranium) Flower Oil, Boswellia Carterii (Frankincense) Oil, Melia Azadirachta Bark Extract, Pearl Powder, Amyris Balsamifera (West Indian Rosewood) Bark Oil, Moringa Oleifera Seed Oil, Ocimum Sanctum Leaf Extract, Ocimum Basilicum (Basil) Flower/Leaf Extract, Disodium EDTA, Caprylyl Glycol, Ethylhexylglycerin </p><p>Ingredients are subject to change at the manufacturer's discretion. For the most complete and up-to-date list of ingredients, refer to the product packaging.</p></div>"
PUR007,"<div id=""how-to-text""><p>Use the serum more than once a day, in the morning and evening. After using the toner, pump the product 1-2 times and gently absorb into the skin. You can add cream in the winter or for dry skin. </p><p>We recommend doing a patch test on a wrist or behind the ear before using any new product.</p></div><div id=""ingredients-text""><p>Centella Asiatica Extract, Water, Dipropylene Glycol, Glycerin, Niacinamide, Butylene Glycol, 1,2-Hexanediol, Glycereth-26, Carbomer, Arginine, Sclerotium Gum, Hydrolyzed Jojoba Esters, Sodium Hyaluronate, Asiaticoside, Asiatic Acid, Madecassic Acid, Palmitoyl Hexapeptide-12, Palmitoyl Tripeptide-1, Palmitoyl Tetrapeptide-7, Palmitoyl Dipeptide-10, Caprylyl Glycol, Polyglyceryl-10 Myristate, Panthenol, Polyglyceryl-10 Laurate, Hydrogenated Lecithin, Camellia Sinensis Leaf Extract, Pancratium Maritimum Extract, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Dipotassium Glycyrrhizate, Disodium EDTA, Adenosine, Lavandula Angustifolia (Lavender) Oil, Ceramide NP </p><p>Ingredients are subject to change at the manufacturer's discretion. For the most complete and up-to-date list of ingredients, refer to the product packaging.</p></div>"
CSRX006,"<div id=""how-to-text""><p>Pump the essence onto a cotton pad and gently wipe off face avoiding lip and eye area. Recommend to use 2-3 times in a week, and gradually build up the usage according to the skin condition. </p><p>We recommend doing a patch test on a wrist or behind the ear before using any new product.</p></div><div id=""ingredients-text""><p>Mineral Water, Salix Alba (Willow) Bark Water, Pyrus Malus (Apple) Fruit Water, Butylene Glycol, 1,2-Hexanediol, Sodium Lactate,Â Glycolic Acid, Water, Betaine Salicylate, Allantoin, Panthenol, Ethyl Hexanediol. </p><p>Ingredients are subject to change at the manufacturer's discretion. For the most complete and up-to-date list of ingredients, refer to the product packaging.</p></div>"
FRD001,"<div id=""how-to-text""><p>Apply a small amount on your lips. </p><p>We recommend doing a patch test on a wrist or behind the ear before using any new product.</p></div><div id=""ingredients-text""><p>Mineral Oil, Petrolatum, Microcrystalline Wax, Hydrogenated Castor Oil Dimer Dilinoleate, Paraffin, Beeswax, Diisostearyl Malate, Ricinus Communis (Castor) Seed Oil, Silica Dimethyl Silylate, Glyceryl Caprylate, Butylene/Ethylene/Styrene Copolymer, Ethylene/Propylene/Styrene Copolymer, Water, Hydrogenated Polyisobutene, Caprylic/Capric Triglyceride, Coco-Caprylate/Caprate, Butylene Glycol, Hydrolyzed Collagen, Prunus Armeniaca (Apricot) Kernel Oil, Vitis Vinifera (Grape) Seed Oil, 1,2-Hexanediol, Ribes Nigrum (Black Currant) Leaf Extract, Sodium Hyaluronate, Vaccinium Angustifolium (Blueberry) Fruit Extract, Citrus Paradisi (Grapefruit) Seed Oil, Honey Extract, Mangifera Indica (Mango) Seed Oil, Punica Granatum Seed Oil, Solanum Lycopersicum (Tomato) Seed Oil, Anemarrhena Asphodeloides Root Extract, Tocopherol, Phenoxyethanol, Fragrance </p><p>Ingredients are subject to change at the manufacturer's discretion. For the most complete and up-to-date list of ingredients, refer to the product packaging.</p></div>"
SIO001,"<div id=""how-to-text""><p>Shake well to activate formula. Pour an appropriate amount onto a cotton pad, place over the desired area for a few seconds and gently wipe off. Finish your Sioris cleaning routine with the Milk Cleanser and Cleansing Gel. </p><p>We recommend doing a patch test on a wrist or behind the ear before using any new product.</p></div><div id=""ingredients-text""><p>*Citrus Junos Fruit Water (54%), Caprylic/Capric Triglyceride, Helianthus Annuus (Sunflower) Seed Oil (10%), Cetyl Ethylhexanoate, Ethylhexyl Palmitate, Propanediol, Butylene Glycol, Simmondsia Chinensis (Jojoba) Seed Oil (1%), Glycine Soja (Soybean) Oil, Bixa Orellana Seed Oil, Tocopherol, 1,2-Hexanedio, Sodium Chloride, Sodium Citrate (*indicates organic farming)&lt; </p><p>Ingredients are subject to change at the manufacturer's discretion. For the most complete and up-to-date list of ingredients, refer to the product packaging.</p></div>"
SIO007,"<div id=""how-to-text""> <p> </p> <p>After cleansing, pour your toner onto a cotton pad.
Swipe over clean face in a circular motion.</p> <p></p><p>We recommend doing a patch test on a wrist or behind the ear before using any new product.</p> </div> <div id=""ingredients-text""> <p>*Citrus Junos Fruit Water(38%), Water, Propanediol, Pentylene Glycol, *Aloe Barbadensis Leaf Juice, Betaine, Sodium Hyaluronate, Aloe Barbadensis Leaf Extract, Sodium Phytate, Bioflavonoids, Brassica Oleracea Italica (Broccoli) Extract, Gardenia Jasminoides Fruit Extract, Hydrolyzed Gardenia Florida Extract, Xanthan Gum, Maltodextrin, Citric Acid *ORGANIC CERTIFIED INGREDIENTS <p></p><p>Ingredients are subject to change at the manufacturer discretion. For the most complete and up-to-date list of ingredients, refer to the product packaging.</p> </div>"
BNT0006,"<div id=""how-to-text""><p>Pump into hand and spread gently on to face. Use fingertips to lightly tap the product on to face and neck until fully absorbed. Use after cleansing, toning, and applying essence. </p><p>We recommend doing a patch test on a wrist or behind the ear before using any new product.</p></div><div id=""ingredients-text""><p>Aqua (Water), Butylene Glycol, Snail Secretion Filtrate, Glycerin, Cetyl Ethylhexanoate, Niacinamide, Sodium Hyaluronate, Cetearyl Olivate, Sorbitan Olivate, Simmondsia Chinensis (Jojoba) Seed Oil, Palmitic Acid, 1,2-Hexanediol, Pentylene Glycol, Zanthoxylum Piperitum Fruit Extract, Pulsatilla Koreana Extract, Usnea Barbata (Lichen) Extract, sh-Oligopeptide-1, Bee Venom, Cetearyl Alcohol, Xanthan Gum, Stearic Acid, Tocopheryl Acetate, Althaea Rosea Root Extract, Aloe Barbadensis Leaf Extract, Panthenol, Lauric Acid, Myristic Acid, Aloe Barbadensis Leaf Juice, Beta-Glucan, Plantago Asiatica Extract, Diospyros Kaki Leaf Extract, Salix Alba (Willow) Bark Extract, Ulmus Campestris (Elm) Extract, Laminaria Digitata Extract, Adenosine, Polysorbate 20, Lecithin </p><p>Ingredients are subject to change at the manufacturer's discretion. For the most complete and up-to-date list of ingredients, refer to the product packaging.</p></div>"
BTW011,"<div id=""how-to-text""><p>1) After cleansing, prep the skin with the toner. 2) Apply 3-4 drops of the vitamin serum over the face and promote absorption. 3) When the vitamin serum is fully absorbed in 3-5 minutes, apply 3-4 drops of the propolis ampoule over the face and promote absorption. 4) After the ampoule is fully absorbed, apply the moisturizer. </p><p>We recommend doing a patch test on a wrist or behind the ear before using any new product.</p></div><div id=""ingredients-text""><p>lease refer to each individual product</p></div>"
