"Privacy and Cookie Policy","Polityka prywatności i plików cookie"
"Add Coupon","Dodaj kupon",module,Magento_Checkout
"Sort By","Sortuj",module,Smile_ElasticsuiteCatalog
"Cancel","Anuluj",module,Magento_Checkout
"Enter your coupon code","Wpisz swój kod kuponu",module,Magento_Checkout
"Your cart is empty","Twój koszyk jest pusty",module,Magento_Checkout
"View Cart","Koszyk",module,Magento_Checkout
"Check Out","Do Kasy",module,Magento_Checkout
"Brand","Marka",module,Magento_Catalog
"Refine by:","Doprecyzuj według:",module,Magento_Catalog
"No filters applied","Brak zastosowanych filtrów",module,Magento_Catalog
"Centella Asiatica","Centella Asiatica",module,Magento_Catalog
"Ceramides","Ceramidy",module,Magento_Catalog
"Waterless skincare","Bezwodna pielęgnacja skóry",module,Magento_Catalog
"Ginseng","Żeń-szeń",module,Magento_Catalog
"Peptides","Peptydy",module,Magento_Catalog
"Hyaluronic Acid","Kwas hialuronowy",module,Magento_Catalog
"Niacinamide","Niacynamid",module,Magento_Catalog
"Salicylic Acid","Kwas salicylowy",module,Magento_Catalog
"Vitamin C","Witamina C",module,Magento_Catalog
"Product Types","Typy produktów",module,Magento_Catalog
"Cleansers","Środki czyszczące"
"Essences","Esencje"
"Exfoliators","Złuszczacze"
"Eye Creams","Kremy pod oczy"
"Lip Care","Pielęgnacja ust"
"Moisturisers","Nawilżacze"
"Pimple Patch","Pryszcz"
"Serums & Ampoules","Serum i ampułki"
"Sheet Masks","Maski arkuszy"
"Sleeping Masks","Maski do spania"
"Spot Treatment","Leczenie punktowe"
"Toners","Tonery"
"Skin Concerns","Problemy dotyczące skóry",module,Magento_Catalog
"Environmental Stressors","Stresory środowiskowe",module,Magento_Catalog
""Maskne" Essentials",""Maska" Essentials",module,Magento_Catalog
"Acne","Trądzik",module,Magento_Catalog
"Oiliness","Oleistość",module,Magento_Catalog
"Dryness","Suszenie",module,Magento_Catalog
"Redness","Zaczerwienienie",module,Magento_Catalog
"Sensitive Skin","Wrażliwa skóra",module,Magento_Catalog
"Dullness","Tępy",module,Magento_Catalog
"Anti-ageing","Anti-aging",module,Magento_Catalog
"Uneven or Sun-damaged Skin","Nierówna lub zniszczona słońcem skóra",module,Magento_Catalog
"Skin Types","Typy skórek",module,Magento_Catalog
"Combination","Kombinacja",module,Magento_LayeredNavigation
"Dry","Suchy",module,Magento_LayeredNavigation
"Oily","Oleisty",module,Magento_LayeredNavigation
"Normal","Normalny",module,Magento_LayeredNavigation
"Vegan","Wegańskie",module,Magento_Catalog
"Read more...","Czytaj więcej..."
"Read less...","Mniej czytać..."
"Create account","Utwórz konto",module,Magento_Customer
"New Customer?","Nowy klient?",module,Magento_Customer
"Show Password","Pokaż hasło",module,Magento_Customer
"Back to Top","Powrót do góry"
"No reviews yet","Brak recenzji",module,Magento_Review
"Connect with us","Połącz się z nami"
"I read and agree","Czytam i zgadzam się"
"Write a Review","Napisać recenzję",module,Magento_Review
"Write Your Own Review","Napisz swoją własną recenzję",module,Magento_Review
"Don't miss out!","Nie przegap!",module,Magento_Newsletter
"Sign up for subscriber-only discounts, be first to hear about our latest curations & K-beauty skincare tips! Never miss out on exciting offers…","Zarejestruj się, aby otrzymywać zniżki tylko dla subskrybentów, bądź pierwszy, aby usłyszeć o naszych najnowszych kuracjach i wskazówkach dotyczących pielęgnacji skóry K-beauty! Nigdy nie przegap ekscytujących ofert…",module,Magento_Newsletter
"Best Sellers","Bestsellery",module,IdeaInYou_BestSellers
"Shop our best selling products","Kupuj nasze najlepiej sprzedające się produkty",module,IdeaInYou_BestSellers
"My Account","Moje Konto",module,Magento_Customer
"Latest Blog Posts","Najnowsze posty na blogu",module,Magefan_Blog
"View All Posts","Zobacz wszystkie posty",module,Magefan_Blog
"We could not find anything for %1","Nie mogliśmy znaleźć niczego dla %1"
"😔 We could not find anything for <b>""%search_query%""</b>","😔 Nie mogliśmy znaleźć niczego dla <b>""%search_query%""</b>"
"All","Wszystko",module,Magento_AdminGws
"None","Brak",module,Magento_AdminGws
"Allowed Scopes","Dopuszczalne zakresy",module,Magento_AdminGws
"More permissions are needed to delete the ""%1"" item.","Więcej uprawnień jest potrzebnych do usunięcia elementu ""%1"".",module,Magento_AdminGws
"You need more permissions to apply some of the rule updates.","Potrzebujesz więcej uprawnień do stosowania niektórych reguł aktualizacji.",module,Magento_AdminGws
"More permissions are needed to view this item.","Dodatkowe uprawnienia są potrzebne do wyświetlenia tego elementu.",module,Magento_AdminGws
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","Ten obiekt musi być przypisany do widoku sklepu. Sprawdź przypisanie i spróbuj ponownie.",module,Magento_AdminGws
"This item needs to be assigned to a store view.,module,Magento_AdminGws
Please select a website for this product in ""Product in Websites"".","Ten element musi być przypisany do widoku sklepu.,module,Magento_AdminGws
Wybierz stronę internetową dla tego produktu w ""Produkt w witrynach internetowych"".",module,Magento_AdminGws
"Orders can only be completed in an active store. Verify the store and try again.","Zamówienia mogą być realizowane tylko w aktywnym sklepie. Zweryfikuj sklep i spróbuj ponownie.",module,Magento_AdminGws
"This item needs to be assigned to a store view. Assign item and try again.","Ten element musi być przypisany do widoku sklepu. Przypisz element i spróbuj ponownie.",module,Magento_AdminGws
"More permissions are needed to save this item.","Więcej uprawnień jest potrzebnych do zapisania tego elementu.",module,Magento_AdminGws
"More permissions are needed to delete this item.","Dodatkowe uprawnienia są potrzebne do usunięcia tego elementu.",module,Magento_AdminGws
"At least one website or store group needs to be selected. Select and try again.","Co najmniej jedna witryna lub grupa sklepów musi być zaznaczona. Wybierz i spróbuj ponownie.",module,Magento_AdminGws
"More permissions are needed to set All Scopes to a Role.","Więcej uprawnień jest potrzebnych, aby ustawić wszystkie zakresy na rolę.",module,Magento_AdminGws
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","Identyfikator witryny %1"" jest błędny. Zweryfikuj identyfikator witryny i spróbuj ponownie.",module,Magento_AdminGws
"You need more permissions to access website ""%1"".","Potrzebujesz więcej uprawnień do dostępu do witryny ""%1"".",module,Magento_AdminGws
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","Identyfikator sklepu ""%1"" jest błędny. Zweryfikuj identyfikator sklepu i spróbuj ponownie.",module,Magento_AdminGws
"More permissions are needed to save this setting.","Potrzeba większych uprawnień, aby zapisać te ustawienia.",module,Magento_AdminGws
"Role Scopes","Zakresy ról",module,Magento_AdminGws
"Custom","Niestandardowe",module,Magento_AdminGws
"Read Details","Przeczytaj szczegóły",module,Magento_AdminNotification
"Mark as Read","Oznacz jako przeczytane",module,Magento_AdminNotification
"Are you sure?","Czy na pewno tego chcesz?",module,Magento_AdminNotification
"Remove","Usuń",module,Magento_AdminNotification
"Messages Inbox","Skrzynka odbiorcza",module,Magento_AdminNotification
"You have %1 new system messages","Masz nowe wiadomości systemowe: %1",module,Magento_AdminNotification
"You have %1 new system message","Masz %1 nową wiadomość systemową",module,Magento_AdminNotification
"Incoming Message","Nowa wiadomość",module,Magento_AdminNotification
"close","zamknij",module,Magento_AdminNotification
"Notifications","Powiadomienia",module,Magento_AdminNotification
"The message has been marked as Read.","Wiadomość została oznaczona jako przeczytana.",module,Magento_AdminNotification
"We couldn't mark the notification as Read because of an error.","Nie udało się oznaczyć powiadomienia jako przeczytane z powodu błędu.",module,Magento_AdminNotification
"Please select messages.","Wybierz wiadomości.",module,Magento_AdminNotification
"A total of %1 record(s) have been marked as Read.","W sumie %1 rekord(y) zostały oznaczone jako przeczytane.",module,Magento_AdminNotification
"Total of %1 record(s) have been removed.","W sumie %1 rekord(y) zostały usunięte.",module,Magento_AdminNotification
"We couldn't remove the messages because of an error.","Nie udało się usunąć wiadomości z powodu błędu.",module,Magento_AdminNotification
"The message has been removed.","Wiadomość została usunięta.",module,Magento_AdminNotification
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","Zobaczyłeś oraz rozwiązałeś wszystkie ostatnie powiadomienia systemowe. Odśwież stronę aby usunąć alert.",module,Magento_AdminNotification
"1 Hour","1 godz.",module,Magento_AdminNotification
"2 Hours","2 godz.",module,Magento_AdminNotification
"6 Hours","6 godz.",module,Magento_AdminNotification
"12 Hours","12 godz.",module,Magento_AdminNotification
"24 Hours","24 godz.",module,Magento_AdminNotification
"critical","krytyczny",module,Magento_AdminNotification
"major","ważne",module,Magento_AdminNotification
"minor","drobne",module,Magento_AdminNotification
"notice","informacja",module,Magento_AdminNotification
"Wrong message type","Nieprawidłowy typ wiadomości",module,Magento_AdminNotification
"Wrong notification ID specified.","Niepoprawny ID powiadomienia.",module,Magento_AdminNotification
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","Nie zaleca się używania {{base_url}} jako bazowego adresu URL w środowisku produkcyjnym. Radzimy zmianę tej wartości w <a href=""%1"">konfiguracji</a>.",module,Magento_AdminNotification
"One or more of the Cache Types are invalidated: %1. ","Istnieją nieaktualne pamięci podręczne: %1. ",module,Magento_AdminNotification
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Przejdź do <a href=""%1"">strony zarządzania pamięciami podręcznymi</a> i odśwież je.",module,Magento_AdminNotification
